Skills,term
BIG DATA [A2],BIG_DATA
BIG DATA [A2],DATA_SCIENCE
BIG DATA [A2],DATA_INTEGRITY
BIG DATA [A2],ANALYZING_DATA
BIG DATA [A2],LARGE_DATA_SETS
BIG DATA [A2],LARGE_SCALE
BUSINESS ACUMEN [S1],ACTIONABLE_INSIGHTS
BUSINESS ACUMEN [S1],UNDERSTAND_BUSINESS
BUSINESS ACUMEN [S1],BUSINESS_OUTCOMES
BUSINESS ACUMEN [S1],INDUSTRY_TRENDS
BUSINESS ACUMEN [S1],CRITICAL_THINKING
BUSINESS ACUMEN [S1],STRONG_BUSINESS
BUSINESS ACUMEN [S1],BUSINESS_GOALS
BUSINESS ACUMEN [S1],BUSINESS_LEADERS
BUSINESS ACUMEN [S1],BUSINESS_ACUMEN
BUSINESS ANALYTIC APPLICATIONS [S2],BUSINESS_IMPACT
BUSINESS ANALYTIC APPLICATIONS [S2],BUSINESS_INTELLIGENCE
BUSINESS ANALYTIC APPLICATIONS [S2],APPLYING CONCEPTS
BUSINESS ANALYTICS DEPLOYMENT [S3],MAKE_AN_IMPACT
BUSINESS ANALYTICS DEPLOYMENT [S3],DEVELOP_AND_IMPLEMENT
BUSINESS ANALYTICS DEPLOYMENT [S3],SUPPORT_BUSINESS
BUSINESS PROCESS [S4],BUSINESS_PARTNER
BUSINESS PROCESS [S4],COMPLEX_BUSINESS
BUSINESS PROCESS [S4],BUSINESS_DEVELOPMENT
BUSINESS PROCESS [S4],BUSINESS_ADMINISTRATION
BUSINESS PROCESS [S4],BUSINESS_PROCESSES
BUSINESS PROCESS [S4],DRIVE_BUSINESS
BUSINESS PROCESS [S4],BUSINESS_CASES
BUSINESS PROCESS [S4],BUSINESS_RESULTS
BUSINESS PROCESS [S4],BUSINESS_STAKEHOLDERS
BUSINESS PROCESS [S4],BUSINESS_PERFORMANCE
BUSINESS PROCESS [S4],BUSINESS_DECISIONS
BUSINESS PROCESS [S4],PROCESS_IMPROVEMENT
BUSINESS PROCESS [S4],BUSINESS_OPERATIONS
BUSINESS PROCESS [S4],BUSINESS_SYSTEMS
BUSINESS PROCESS [S4],PROCESS_IMPROVEMENTS
BUSINESS PROCESS [S4],BUSINESS_PLANNING
BUSINESS PROCESS [S4],BUSINESS_PROCESS
BUSINESS PROCESS [S4],RISK MANAGEMENT
BUSINESS PROCESS [S4],FINANCIAL RISK MANAGEMENT
BUSINESS PROCESS [S4],ACTIVE PORTFOLIO MANAGEMENT
BUSINESS PROCESS [S4],FINANCIAL REPORTING
BUSINESS PROCESS [S4],FINANCIAL REPORTS
BUSINESS PROCESS [S4],INTERNAL CONTROL
BUSINESS PROCESS [S4],SUPPLY CHAIN ANALYTICS
BUSINESS PROCESS [S4],SUPPLY CHAIN
BUSINESS PROCESS [S4],INVENTORY MANAGEMENT
BUSINESS PROCESS [S4],OPERATIONS MANAGEMENT
BUSINESS PROCESS [S4],BUSINESS PROCESSES
BUSINESS STRATEGY [S5],STRATEGIC_INITIATIVES
BUSINESS STRATEGY [S5],DRIVE_STRATEGIC
BUSINESS STRATEGY [S5],DECISION MAKING
CLOUD INFRASTRUCTURE  [A4],CLOUD_BASED
CLOUD INFRASTRUCTURE  [A4],CLOUD
COMMUNICATION SKILLS [S6],COMMUNICATION_SKILLS
COMMUNICATION SKILLS [S6],EXCELLENT_COMMUNICATION
COMMUNICATION SKILLS [S6],EFFECTIVELY_COMMUNICATE
COMMUNICATION SKILLS [S6],WRITTEN_COMMUNICATION_SKILLS
COMMUNICATION SKILLS [S6],STRONG_COMMUNICATION_SKILLS
COMMUNICATION SKILLS [S6],STRONG_ORAL
COMMUNICATION SKILLS [S6],STRONG_INTERPERSONAL
COMMUNICATION SKILLS [S6],COMMUNICATE_FINDINGS
COMMUNICATION SKILLS [S6],CUSTOMER_SERVICE
COMMUNICATION SKILLS [S6],TRANSLATE_BUSINESS
COMMUNICATION SKILLS [S6],MANAGEMENT_SKILLS
COMMUNICATION SKILLS [S6],COMMUNICATE
COMMUNICATION SKILLS [S6],VERBAL_AND_WRITTEN_COMMUNICATION_SKILLS
COMMUNICATION SKILLS [S6],WRITTEN_COMMUNICATION
COMMUNICATION SKILLS [S6],ORAL_AND_WRITTEN_COMMUNICATION_SKILLS
COMMUNICATION SKILLS [S6],VERBAL
COMMUNICATION SKILLS [S6],WRITTEN_AND_VERBAL_COMMUNICATION_SKILLS
COMMUNICATION SKILLS [S6],INTERPERSONAL_SKILLS
COMMUNICATION SKILLS [S6],CLASS DISCUSSIONS
COMMUNICATION SKILLS [S6],CASE DISCUSSIONS
COMMUNICATION SKILLS [S6],DISCUSSED IN CLASS
COMMUNICATION SKILLS [S6],CLASS DISCUSSION
COMMUNICATION SKILLS [S6],WHITE PAPER
COMMUNICATION SKILLS [S6],BUSINESS COMMUNICATION
COMMUNICATION SKILLS [S6],CLASS DISCUSSIONS
COMMUNICATION SKILLS [S6],CLASS DISCUSSION
COMMUNICATION SKILLS [S6],DISCUSSED IN CLASS
COMMUNICATION SKILLS [S6],TEAM ASSIGNMENT
COMMUNICATION SKILLS [S6],CASE DISCUSSION
COMMUNICATION SKILLS [S6],CASE DISCUSSIONS
COMMUNICATION SKILLS [S6],GROUP PROJECT
DATA COLLECTION [A6],DATA_SOURCES
DATA COLLECTION [A6],DATA_ENTRY
DATA COLLECTION [A6],DATA_SETS
DATA COLLECTION [A6],DATA SETS
DATA COLLECTION [A6],DATA SOURCES
DATA MINING [A7],DATA_MODELING
DATA MINING [A7],INTERPRET_DATA
DATA MINING [A7],DATA_MANAGEMENT
DATA MINING [A7],BUSINESS_DATA
DATA MINING [A7],DATA_MINING
DATA MINING [A7],DATA SCIENCE
DATA MINING [A7],DATA SCIENTIST
DATA MINING [A7],DATA MINING
DATA MINING [A7],DATA SCIENCE
DATA MINING [A7],ANALYZE DATA
DATA MINING TOOLS [A8],GOOGLE_ANALYTICS
DATA MINING TOOLS [A8],ANALYTICAL_TOOLS
DATA MINING TOOLS [A8],BI_TOOLS
DATA MINING TOOLS [A8],ANALYTICS_TOOLS
DATA MINING TOOLS [A8],BUSINESS_INTELLIGENCE_TOOLS
DATA MINING TOOLS [A8],ANALYTICAL TOOLS
DATA PREPARATION [A9],UNSTRUCTURED_DATA
DATA PREPARATION [A9],RAW_DATA
DATA PREPARATION [A9],DATA_QUALITY
DATA PREPARATION [A9],DESCRIPTIVE STATISTICS
DATA PREPARATION [A9],CLEANING DATA
DATA REPORTING [A10],PRESENTATION_SKILLS
DATA REPORTING [A10],PREPARE_REPORTS
DATA REPORTING [A10],STATUS_REPORTS
DATA VISUALIZATION [A13],DASHBOARD
DATA VISUALIZATION [A13],DATA_VISUALIZATIONS
DATA VISUALIZATION [A13],MANAGEMENT_TEAM
DATA VISUALIZATION [A13],DATA_VISUALIZATION
DATA VISUALIZATION [A13],VISUALIZATION
DATA VISUALIZATION [A13],DATA VISUALIZATION
DATA WAREHOUSE TOOLS  [A14],DATA_WAREHOUSE
DATA WAREHOUSE TOOLS  [A14],DATA_WAREHOUSING
DATABASE PROGRAMMING  [A15],SQL_SERVER
DATABASE PROGRAMMING  [A15],DATA_ENGINEERS
DATABASE PROGRAMMING  [A15],SQL
DATABASE PROGRAMMING  [A15],PERFORMANCE_INDICATORS
DATABASE PROGRAMMING  [A15],DATA_MODELS
DATABASE TOOLS [A16],DATA_GOVERNANCE
DATABASE TOOLS [A16],DATABASE
DATA-DRIVEN CULTURE [S7],DATA_DRIVEN
DATA-DRIVEN CULTURE [S7],DATA DRIVEN
DECISION SCIENCE [A46],MANAGEMENT_SYSTEMS
DECISION SCIENCE [A46],DECISION_MAKING
DECISION SCIENCE [A46],PRODUCT_DEVELOPMENT
DECISION SCIENCE [A46],SENSITIVITY ANALYSIS
DECISION SCIENCE [A46],DECISION TREES
DECISION SCIENCE [A46],DECISION MAKING
DECISION SCIENCE [A46],OPERATIONS MANAGEMENT
DEPLOYMENT TECHNIQUES [S8],WORK_INDEPENDENTLY
DEPLOYMENT TECHNIQUES [S8],TIME_MANAGEMENT
DEPLOYMENT TECHNIQUES [S8],ABILITY_TO_MANAGE
FORECASTING [A25],FORECAST
FORECASTING [A25],PREDICTIVE_ANALYTICS
FORECASTING [A25],PREDICT
IDENTIFY BUSINESS PROBLEMS/SOLUTIONS [S9],IMPROVE_BUSINESS
IDENTIFY BUSINESS PROBLEMS/SOLUTIONS [S9],BUSINESS_QUESTIONS
IDENTIFY BUSINESS PROBLEMS/SOLUTIONS [S9],PROBLEM_SOLVE
IDENTIFY BUSINESS PROBLEMS/SOLUTIONS [S9],PROBLEM_SOLVING_SKILLS
IDENTIFY BUSINESS PROBLEMS/SOLUTIONS [S9],MAKE_DECISIONS
IDENTIFY BUSINESS PROBLEMS/SOLUTIONS [S9],BUSINESS_OBJECTIVES
IDENTIFY BUSINESS PROBLEMS/SOLUTIONS [S9],IDENTIFY_KEY
IDENTIFY BUSINESS PROBLEMS/SOLUTIONS [S9],ABILITY_TO_UNDERSTAND
IDENTIFY BUSINESS PROBLEMS/SOLUTIONS [S9],PROBLEM_SOLVING
IDENTIFY BUSINESS PROBLEMS/SOLUTIONS [S9],COMPLEX_PROBLEMS
IDENTIFY BUSINESS PROBLEMS/SOLUTIONS [S9],THINKING_AND_PROBLEM_SOLVING_SKILLS
IDENTIFY BUSINESS PROBLEMS/SOLUTIONS [S9],DECISION MAKING
IDENTIFY BUSINESS PROBLEMS/SOLUTIONS [S9],CASE ASSIGNMENTS
IDENTIFY BUSINESS PROBLEMS/SOLUTIONS [S9],CASE DISCUSSION
IDENTIFY BUSINESS PROBLEMS/SOLUTIONS [S9],TEAM PROJECT
IDENTIFY BUSINESS PROBLEMS/SOLUTIONS [S9],CASE DISCUSSIONS
IDENTIFY BUSINESS PROBLEMS/SOLUTIONS [S9],GROUP PROJECT
IDENTIFY BUSINESS PROBLEMS/SOLUTIONS [S9],FINAL CASE
INFORMATION TECHNOLOGY  [A27],MICROSOFT_OFFICE_SUITE
INFORMATION TECHNOLOGY  [A27],INFORMATION_SYSTEMS
INFORMATION TECHNOLOGY  [A27],COMPUTER_SCIENCE
INFORMATION TECHNOLOGY  [A27],INFORMATION_TECHNOLOGY
MACHINE LEARNING PROCESS  [A28],CLASSIFICATION
MACHINE LEARNING PROCESS  [A28],CLUSTERING
MACHINE LEARNING PROCESS  [A28],MACHINE_LEARNING
MACHINE LEARNING PROCESS  [A28],PREDICTION
MACHINE LEARNING PROCESS  [A28],ML
MACHINE LEARNING PROCESS  [A28],MACHINE LEARNING
MODEL EVALUATION  [A30],PERFORMANCE_METRICS
MODELING EXPERIENCE [A31],EXPERIENCE_BUILDING
MODELING EXPERIENCE [A31],EXPERIENCE_IN_DATA
MODELING EXPERIENCE [A31],EXPERIENCE_WITH_DATA
MODELING EXPERIENCE [A31],ANALYSIS_EXPERIENCE
MODELING EXPERIENCE [A31],ANALYTICS TECHNIQUES
PROGRAMMING EXPERIENCE  [A35],SOFTWARE_DEVELOPMENT
PROGRAMMING LANGUAGES  [A36],PROGRAMMING_LANGUAGES
PROGRAMMING LANGUAGES  [A36],R
PROGRAMMING LANGUAGES  [A36],R STUDIO
PROGRAMMING LANGUAGES  [A36],RSTUDIO
PROGRAMMING LANGUAGES  [A36],C++
PROGRAMMING LANGUAGES  [A36],PYTHON
PROGRAMMING LANGUAGES  [A36],DATA SCIENCE
PROGRAMMING LANGUAGES  [A36],PRIOR PROGRAMMING EXPERIENCE
PROGRAMMING LANGUAGES  [A36],DATA SCIENTIST
PROJECT SKILLS [S10],SPECIAL_PROJECTS
PROJECT SKILLS [S10],PROJECT_MANAGEMENT_SKILLS
PROJECT SKILLS [S10],PROJECT_MANAGERS
PROJECT SKILLS [S10],MANAGEMENT_EXPERIENCE
PROJECT SKILLS [S10],MANAGING_PROJECTS
PROJECT SKILLS [S10],PROJECT_MANAGEMENT
PROJECT SKILLS [S10],MULTIPLE_PROJECTS
PROJECT SKILLS [S10],ORGANIZATIONAL_SKILLS
PROJECT SKILLS [S10],PROJECT_MANAGER
PROJECT SKILLS [S10],FINAL PROJECT
PROJECT SKILLS [S10],GROUP PROJECT
PROJECT SKILLS [S10],CLASS PROJECT
PROJECT SKILLS [S10],TEAM PROJECT
PROJECT SKILLS [S10],GROUP PROJECT
REAL-TIME INSIGHT [S11],AD_HOC
REAL-TIME INSIGHT [S11],STRATEGIC_PLANNING
REQUIREMENTS [S12],STRATEGIC_THINKING
REQUIREMENTS [S12],BUSINESS_REQUIREMENTS
SPREADSHEETS [A39],MICROSOFT_OFFICE
SPREADSHEETS [A39],EXCEL
SPREADSHEETS [A39],MICROSOFT_EXCEL
SPREADSHEETS [A39],EXCEL_SKILLS
SPREADSHEETS [A39],PIVOT_TABLES
SPREADSHEETS [A39],MICROSOFT EXCEL
SPREADSHEETS [A39],EXCEL ADD INS
STATISTICS [A41],STATISTICS
STATISTICS [A41],STATISTICAL_ANALYSIS
STATISTICS [A41],PROBABILITY AND STATISTICS
STATISTICS [A41],PROBABILITY DISTRIBUTIONS
TEAM SKILLS [S13],TEAM_PLAYER
TEAM SKILLS [S13],LEADERSHIP_TEAM
TEAM SKILLS [S13],ACROSS_TEAMS
TEAM SKILLS [S13],DEVELOPMENT_TEAM
TEAM SKILLS [S13],TEAM_ORIENTED
TEAM SKILLS [S13],LEADERSHIP
TEAM SKILLS [S13],CROSS_FUNCTIONAL_TEAMS
TEAM SKILLS [S13],STRONG_ORGANIZATIONAL_SKILLS
TEAM SKILLS [S13],WORK_COLLABORATIVELY
TEAM SKILLS [S13],COLLABORATE_WITH_BUSINESS
TEAM SKILLS [S13],TEAM_MEMBERS
TEAM SKILLS [S13],LEADERSHIP_SKILLS
TEAM SKILLS [S13],WORK_CLOSELY
TEAM SKILLS [S13],TEAM_ENVIRONMENT
TEAM SKILLS [S13],TEAM_MEMBER
TEAM SKILLS [S13],WORK IN YOUR TEAMS
TEAM SKILLS [S13],TEAM ASSIGNMENTS
TEAM SKILLS [S13],GROUP ASSIGNMENTS
TEAM SKILLS [S13],GROUP PROJECT
TEAM SKILLS [S13],TEAM MEMBERS
TEAM SKILLS [S13],TEAM ASSIGNMENTS
TEAM SKILLS [S13],TEAM MEMBER
TEAM SKILLS [S13],TEAM PROJECT
TEAM SKILLS [S13],GROUP ASSIGNMENTS
VISUALIZATION TOOLS [A45],TABLEAU
VISUALIZATION TOOLS [A45],POWER_BI
VISUALIZATION TOOLS [A45],VISUALIZATION_TOOL
VISUALIZATION TOOLS [A45],VISUALIZATION_TOOLS
